gene,mean_D14,mean_Sham,effect_D14_vs_Sham,log2fc_proxy_D14_vs_Sham,pvalue_D14_vs_Sham
Gm5139,0.001472930593066806,0.0011711825318113803,0.00030174806125542577,0.3304713468032028,0.8317561490462261
Cerk,0.008718625527846652,0.008417381496987189,0.0003012440308594634,0.05072328852170823,0.944694670799284
Gm20689,0.0008695471481740457,0.0005684048951063551,0.0003011422530676905,0.6124675394511375,0.6778975955559273
Fastkd5,0.002701454293128501,0.002400349311028854,0.0003011049820996468,0.17042493800775194,0.8622490520447634
Gm5466,0.0005855954404834831,0.0002849002849002849,0.0003006951555831982,1.0368537996722376,0.6609239686271833
Ppp1r12b,0.005582815187724418,0.00528227188509834,0.0003005433026260782,0.07981953718206806,0.8993843423990578
Gm3534,0.0005853626968749824,0.0002849002849002849,0.0003004624119746975,1.036281267638067,0.6610616064072795
Gm48305,0.0005849820319802169,0.0002849002849002849,0.00030008174707993205,1.035344370219241,0.6612869700557311
Gfm2,0.005716662682026406,0.0054166283279266,0.00030003435409980614,0.07776408756792441,0.9158598136277795
Gm6293,0.0008695463071892145,0.0005698005698005698,0.00029974573738864474,0.6089342665766412,0.7813080653057967
Fbxl12os,0.0005844495057276765,0.0002849002849002849,0.00029954922082739167,1.0340326878684156,0.6616027602459628
Gm11222,0.0005652329700844597,0.0002671176448733833,0.00029811532521107644,1.07852958910786,0.6510272153886798
Gm17230,0.0008677915737525575,0.0005698005698005698,0.00029799100395198777,0.606023335798051,0.7231180255327255
Mrps36-ps2,0.0005828053050112934,0.0002849002849002849,0.0002979050201110085,1.0299752629829702,0.6625816246910465
Gm5308,0.0005827699737752525,0.0002849002849002849,0.0002978696888749676,1.0298879500705331,0.6626027229199276
Gramd3,0.0014141097191161963,0.0011166452697153571,0.00029746444940083913,0.34045155255770454,0.7417976237720234
Tcrg-C2,0.0005486107429511562,0.00025130900284900284,0.0002973017401021533,1.1232185187866588,0.6407728890864837
Gm6871,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Gm8421,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Casq2,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Rnls,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Gm11907,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Gm47922,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Gm12710,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Gm32102,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Tdg-ps,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Gm45874,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
AC117662.3,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Zfp239,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
1700020L24Rik,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Gm8407,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Scn2b,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
6030468B19Rik,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Gm45610,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Gm18860,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Mrln,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Lrrc8dos,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Gm12038,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Gm45173,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Gm17813,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Gm7624,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Gm9386,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Gm19181,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Gm12743,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Ascl4,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
Wdr27,0.0002967359050445104,0.0,0.0002967359050445104,8.217889401630003,0.37390096630005876
D430001F17Rik,0.0002967359050445101,0.0,0.0002967359050445101,8.217889401630002,0.37390096630005887
AC163355.2,0.0002967359050445101,0.0,0.0002967359050445101,8.217889401630002,0.37390096630005887
Gm43222,0.0002967359050445101,0.0,0.0002967359050445101,8.217889401630002,0.37390096630005887
Gm8051,0.0002967359050445101,0.0,0.0002967359050445101,8.217889401630002,0.37390096630005887
Gm6072,0.0002967359050445101,0.0,0.0002967359050445101,8.217889401630002,0.37390096630005887
Gm2645,0.0002967359050445101,0.0,0.0002967359050445101,8.217889401630002,0.37390096630005887
Gm9795,0.0002967359050445101,0.0,0.0002967359050445101,8.217889401630002,0.37390096630005887
Gm49494,0.0002967359050445101,0.0,0.0002967359050445101,8.217889401630002,0.37390096630005887
Gm48234,0.0002967359050445101,0.0,0.0002967359050445101,8.217889401630002,0.37390096630005887
Gm7993,0.0002967359050445101,0.0,0.0002967359050445101,8.217889401630002,0.37390096630005887
B4galnt2,0.0002967359050445101,0.0,0.0002967359050445101,8.217889401630002,0.37390096630005887
Gng3,0.0002967359050445101,0.0,0.0002967359050445101,8.217889401630002,0.37390096630005887
